feature_1,feature_2,feature_3,feature_4,feature_5,cluster
0,0.30758918820419,0.458508372671858,0.655686014581953,0.380180989929116,0
0.00035031528375538,0.660738120114075,0.458508372671858,0.29821749834296,0.561788858701203,1
0.00100090081072966,0.30758918820419,0.458508372671858,0.65709292049364,0.395353706616551,0
0.00160144129716745,0.660738120114075,0.458508372671858,0.301013950699113,0.56882111412988,1
0.00200180162145931,0.30758918820419,0.458508372671858,0.648566265820787,0.378171409310972,0
0.00285256731057952,0.660738120114075,0.458508372671858,0.295210365180065,0.575490776867608,1
0.00300270243218897,0.30758918820419,0.458508372671858,0.655127355364075,0.38572457254918,0
0.00400360324291863,0.30758918820419,0.458508372671858,0.654671274816147,0.381613486405328,0
0.00410369332399159,0.660738120114075,0.458508372671858,0.299346652779093,0.558379976712357,1
0.00500450405364828,0.30758918820419,0.458508372671858,0.657500078906669,0.394105059955468,0
0.00535481933740366,0.660738120114075,0.458508372671858,0.30339614304201,0.571683553612649,1
0.00600540486437794,0.30758918820419,0.458508372671858,0.654932455891172,0.396783649623108,0
0.00660594535081573,0.660738120114075,0.458508372671858,0.29565303159423,0.580505791269177,1
0.0070063056751076,0.30758918820419,0.458508372671858,0.65619969699839,0.381564970481891,0
0.0078570713642278,0.660738120114075,0.458508372671858,0.301723321655146,0.566811533511736,1
0.00800720648583725,0.30758918820419,0.458508372671858,0.655888015655083,0.380801483055175,0
0.00900810729656691,0.30758918820419,0.458508372671858,0.657496922639902,0.387764794803179,0
0.00910819737763988,0.660738120114075,0.458508372671858,0.304663384149228,0.56811124956591,1
0.0100090081072966,0.30758918820419,0.458508372671858,0.654141021999179,0.382931076747084,0
0.0103593233910519,0.660738120114075,0.458508372671858,0.299555755452451,0.561832267685331,1
0.0110099089180262,0.30758918820419,0.458508372671858,0.658582678407979,0.386963005331645,0
0.011610449404464,0.660738120114075,0.458508372671858,0.301480289114036,0.570542152677058,1
0.0120108097287559,0.30758918820419,0.458508372671858,0.653372471041252,0.385451351296141,0
0.0128615754178761,0.660738120114075,0.458508372671858,0.299690685856769,0.560838967989704,1
0.0130117105394855,0.30758918820419,0.458508372671858,0.656404065271597,0.390946417992769,0
0.0140126113502152,0.30758918820419,0.458508372671858,0.656026891392861,0.391446898045064,0
0.0141127014312882,0.660738120114075,0.458508372671858,0.300054445601742,0.566357015913223,1
0.0150135121609449,0.30758918820419,0.458508372671858,0.661484076634157,0.385035135742447,0
0.0153638274447002,0.660738120114075,0.458508372671858,0.295435249187261,0.555617122546116,1
0.0160144129716745,0.30758918820419,0.458508372671858,0.653107344632768,0.381914795824566,0
0.0166149534581123,0.660738120114075,0.458508372671858,0.301428210712369,0.54695830694748,1
0.0170153137824042,0.30758918820419,0.458508372671858,0.656668402613389,0.396796416971381,0
0.0178660794715244,0.660738120114075,0.458508372671858,0.300292743742701,0.563229015586379,1
0.0180162145931338,0.30758918820419,0.458508372671858,0.654364327872992,0.381713071721856,0
0.0190171154038635,0.30758918820419,0.458508372671858,0.652121800334564,0.393132188017078,0
0.0191172054849364,0.660738120114075,0.458508372671858,0.303773316920746,0.563111555982269,1
0.0200180162145931,0.30758918820419,0.458508372671858,0.657070037559574,0.392307417318653,0
0.0203683314983485,0.660738120114075,0.458508372671858,0.301725688855222,0.563849508712439,1
0.0210189170253228,0.30758918820419,0.458508372671858,0.652623646750623,0.389925030130942,0
0.0216194575117606,0.660738120114075,0.458508372671858,0.300003156266768,0.572536412477274,1
0.0220198178360524,0.30758918820419,0.458508372671858,0.655092636429631,0.389822891344759,0
0.0228705835251727,0.660738120114075,0.458508372671858,0.298184357541899,0.574525565338182,1
0.0230207186467821,0.30758918820419,0.458508372671858,0.657474828772528,0.389861193389578,0
0.0240216194575118,0.30758918820419,0.458508372671858,0.656867247419752,0.388666169591241,0
0.0241217095385847,0.660738120114075,0.458508372671858,0.296507590821576,0.569147958245664,1
0.0245826543889501,0.224617729524294,0.732216783691093,0.800333775210681,0.430244315976549,0
0.0250225202682414,0.30758918820419,0.458508372671858,0.655636303380362,0.392984086777113,0
0.0253728355519968,0.660738120114075,0.458508372671858,0.30255657608181,0.571946560987069,1
0.0260234210789711,0.30758918820419,0.458508372671858,0.650124672537323,0.385699037852634,0
0.0266239615654089,0.660738120114075,0.458508372671858,0.30569311618218,0.56104324556207,1
0.0270243218897007,0.30758918820419,0.458508372671858,0.65323990783701,0.383252813923559,0
0.0278750875788209,0.660738120114075,0.458508372671858,0.29529084998264,0.559273691091455,1
0.0280252227004304,0.30758918820419,0.458508372671858,0.653855379856705,0.399600126652095,0
0.02902612351116,0.30758918820419,0.458508372671858,0.651991604330398,0.39556564459788,0
0.029126213592233,0.660738120114075,0.458508372671858,0.30172884512199,0.57070557473495,1
0.0300270243218897,0.30758918820419,0.458508372671858,0.649412934381214,0.385581578248524,0
0.0303773396056451,0.660738120114075,0.458508372671858,0.29996685919894,0.558288051804792,1
0.0310279251326194,0.30758918820419,0.458508372671858,0.655237824700944,0.392639368373746,0
0.0316284656190572,0.660738120114075,0.458508372671858,0.302064198466054,0.55750924356015,1
0.032028825943349,0.30758918820419,0.458508372671858,0.656969037023009,0.394225073029232,0
0.0328795916324692,0.660738120114075,0.458508372671858,0.303302244105672,0.588779032949972,1
0.0330297267540787,0.30758918820419,0.458508372671858,0.653623394249282,0.38460615284048,0
0.0340306275648083,0.30758918820419,0.458508372671858,0.657432219171164,0.386682123669642,0
0.0341307176458813,0.660738120114075,0.458508372671858,0.300800902692296,0.571356709496864,1
0.035031528375538,0.30758918820419,0.458508372671858,0.650697534955655,0.379466018425837,0
0.0353818436592934,0.660738120114075,0.458508372671858,0.298088880472178,0.553022797377076,1
0.0360324291862676,0.30758918820419,0.458508372671858,0.651821954991636,0.391955038506322,0
0.0366329696727054,0.660738120114075,0.458508372671858,0.297741691127734,0.558517864073703,1
0.0370333299969973,0.30758918820419,0.458508372671858,0.655173910298898,0.393436050905971,0
0.0378840956861175,0.660738120114075,0.458508372671858,0.295077012909131,0.580084468776173,1
0.038034230807727,0.30758918820419,0.458508372671858,0.65337562730802,0.389363266806937,0
0.0383878390551496,0.66454736106812,0.246754551598381,0.862599816936527,0.501274181357629,0
0.0387184265839255,0.122306952460681,0.458508372671858,0.719526244358173,0.235113271913877,0
0.0390351316184566,0.30758918820419,0.458508372671858,0.656698387147682,0.385778195411926,0
0.0391352216995296,0.660738120114075,0.458508372671858,0.300505002682827,0.569799093007579,1
